Materials | What does PPF stand for? | Paint Protection Film | Polyurethane Protective Foil | Painted Polymer Finish | Painters' Performance Film | A | Paint Protection Film. The film body itself is almost always TPU (thermoplastic polyurethane).
Application | After install, PPF typically reaches handling strength after about... | 1 hour | 24 hours | 1 week | 1 month | B | About 24 hours for the customer to drive away and wash carefully. Full bond strength keeps developing until the moisture left over from the install has fully evaporated out through the film.
Application | The customer's car should be prepared by... | A wash two days before | Full decontamination and dust-free panels immediately before install | A high-gloss polish only | Nothing — film hides everything | B | Anything trapped under the film stays there. Decontaminate, clay, and keep the panel clean from the last wipe-down to the moment you lay the film.
Application | Compound curves (like a wing bulge) are best handled by... | Cutting the film into smaller pieces | Pre-stretching evenly in all directions before laying | Using more slip solution | Setting the centre first, working outward | D | Setting the middle of the curve first gives you a stable anchor. From there you relax-and-stretch the surrounding film outward.
Application | A film edge should normally be... | Trimmed flush with the panel edge | Tucked under the panel edge where possible | Left long for the customer to trim | Sealed with a top-coat spray | B | A tucked edge is invisible and far less likely to lift. Flush edges work, but only with clean trimming and proper edge sealing.
Application | A relief cut at a body line should be... | Straight across the line, paint-deep | Just deep enough to free the film, never touching paint | Deeper than the film itself | Made before the liner is removed | B | The blade only ever cuts the film, never the paint. Light pressure, sharp blade, and you stop the moment the film parts.
Defects | A bubble appearing 24h after install is most often... | Trapped slip solution that didn't squeegee out | UV damage | Adhesive failure | Temperature drop | A | Residual slip under the film expands as it warms. The fix is to squeegee thoroughly during install, or lift and re-set the bubble.
Defects | Orange peel in the top coat usually means the film was... | Insufficiently stretched | Over-stretched | Too old | Applied with the wrong slip solution | B | Over-stretching thins the top coat and disturbs its smooth finish. The texture you see is the strained top coat.
Defects | Lifting at a panel edge a week after install suggests... | Normal settling | The edge wasn't tucked or sealed properly | The film brand was wrong | The top coat was too thick | B | Edges fail when they're not bonded all the way to the substrate. Either tuck them or seal them — exposed adhesive edges always lift eventually.
Defects | A whitish "stretch mark" line in the film means... | The top coat got scratched | The film body has thinned and stressed | Slip solution dried out under the film | The adhesive got contaminated | B | The film body itself has been pulled past its elastic limit. The white line is the visible record of where it thinned.
Defects | Contamination spotted under the film right after install should be... | Left alone — it'll work its way out | Lifted, cleaned, and re-set carefully | Heated until it dissolves | Polished out through the top coat | B | Anything trapped is trapped forever. Lift the relevant section while the adhesive is still fresh, clean it, and re-set.
Defects | A bubble at the corner of a body line is most commonly caused by... | Wrong adhesive | Tension across the crease that wasn't relieved properly | Cold film | Too much slip solution | B | If the film bridges the corner under tension, it'll pull away. Relieve the tension with a relief cut or a planned stretch before setting.
Defects | A film that won't tack down on initial set is most likely... | Too tacky | Carrying too much slip solution between film and panel | Carrying too thin a top coat | The wrong colour | B | The adhesive can't grip through a layer of soapy water. Squeegee firmly to drive the slip out — the film will then tack.
Defects | Yellowing of PPF over time is mostly caused by... | UV exposure on lower-grade films without proper UV stabilisers | Wrong cleaning chemicals | Heat from the engine | Wax left on by the customer | A | Quality PPF has UV stabilisers in the top coat. Older or cheaper films yellow because those stabilisers either aren't there or degrade faster.
Business | When quoting a full-body PPF job, the most variable cost line is usually... | The film itself | The labour time | Slip solution | Squeegees | B | Film cost is fixed by the car. Labour varies enormously by car shape, your speed, your experience, and the conditions on the day.
Business | A serious quote on a complex full-body job typically takes you... | About 5 minutes | An hour or more (coverage map, panel-by-panel pricing, aftercare schedule) | A whole working day | No time at all — give a ballpark number | B | A real quote is a piece of work in itself. Charge for it on big jobs (refundable against the booking) to filter serious buyers from tyre-kickers.
Business | A meaningful PPF warranty typically covers... | Yellowing, cracking, and blistering | Stone chips that get through the film | Customer-caused damage | The customer's repaint bill | A | Manufacturer defects in the film itself — yellowing, cracking, delamination. Stone-chip "protection" is what the film does in service; it isn't a warranty claim.
Business | When a customer compares your quote to a cheaper shop, the strongest response is... | Match the price | Show what they get for the difference — warranty, aftercare, your facility, your training | Add a small discount | Refuse to discuss it | B | Price-matching teaches customers your number is negotiable. Showing value teaches them why your number is what it is.
Business | An hourly rate that doesn't include a future fund and a profit margin is... | Healthy if labour is covered | Loss-making once those layers are honestly added in | Fine for a solo operator | Above market by default | B | Without those layers you're paying yourself wages but the business never compounds. One broken lift and there's nothing to fall back on.
Business | A customer reporting a defect after install should first be... | Refunded on the spot | Told it's normal wear | Invited back for a calm inspection and an honest diagnosis | Referred to a competitor | C | You can't decide what to do until you've seen the car. Bring them back, look at it together, then decide whether it's a warranty case, a goodwill fix, or out of scope.
Business | The most common reason small shops underprice themselves is... | They benchmark against competitors instead of calculating their real costs | They want to grow fast | They love working at a loss | Customers demand it | A | Setting your rate from the shop down the road copies their mistake. Calculate your real cost base, divide by realistic billable hours, then look at the market.
Business | Quoting jobs at a fixed price (calculated from your real hourly rate behind the scenes) protects you from... | Customers watching the clock and disputing minutes | Working efficiently | Charging fairly | Producing accurate invoices | A | Sell outcomes, price them off your real rate. The customer buys a wrapped bonnet, not 4.5 hours of your day.
